danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url
0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,207481,4,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD
0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,222243,4,https://api.spotify.com/v1/audio-analysis/3QH8rQGNFX8VLbCgZ7uPTS
0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,254950,4,https://api.spotify.com/v1/audio-analysis/0n2moJpAEWHwaPYYjkzMDl
0.703,0.321,4,-13.135,1,0.884,0.864,0.0,0.908,0.544,114.822,179548,4,https://api.spotify.com/v1/audio-analysis/4GVwjLRT7oSsKby7Vy8EHr
0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,202313,4,https://api.spotify.com/v1/audio-analysis/2FVpOsjT1iquZ3SpCjZ9Ne
0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,239722,4,https://api.spotify.com/v1/audio-analysis/54DmTIv86D3sYdiawjULQ0
0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,204800,4,https://api.spotify.com/v1/audio-analysis/3ndCsZfq8OVwwkz9mmZvUz
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc
0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,207481,4,https://api.spotify.com/v1/audio-analysis/4O3RT44ni2nuKJeOmw7NPM
0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,222243,4,https://api.spotify.com/v1/audio-analysis/5xfFv9ibZGTEEouUNmRvUg
0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,254950,4,https://api.spotify.com/v1/audio-analysis/1dAxzkBm41M1puxxpd6FaV
0.703,0.321,4,-13.135,1,0.884,0.864,0.0,0.908,0.544,114.822,179548,4,https://api.spotify.com/v1/audio-analysis/6FOY0O1zkcfiPdXY0mDvsx
0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,202313,4,https://api.spotify.com/v1/audio-analysis/5fsaGiSOOpGY8QHS5aeJFg
0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,239722,4,https://api.spotify.com/v1/audio-analysis/2OMG3LnKtXKfM9l21Yoae2
0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,204800,4,https://api.spotify.com/v1/audio-analysis/4E78cs6ihF8pqAV93TjOs4
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,https://api.spotify.com/v1/audio-analysis/58fPSA7uhyxl0cb8v6Ob7K
0.486,0.61,10,-12.063,1,0.0348,0.582,0.791,0.144,0.0806,144.992,84613,4,https://api.spotify.com/v1/audio-analysis/5raJ9QoZOdoRZ1MZOcygkR
0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017,243267,4,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ
